Settlment Name,Source,Collection Point,Jan,Feb,Mar,Apr,May,Total
Imvepi Settlement,South Sudan,Afogi,,1278,2953,5862,2558,12651
Imvepi Settlement,South Sudan,Gobolo,,636,6745,7070,6296,20747
Imvepi Settlement,South Sudan,Kerwa,,2859,16117,4597,3002,26575
Imvepi Settlement,South Sudan,Kuluba,,5445,23083,16733,19264,64525
Nakivale Settlement,Burundi,Mirama Hills,746,700,180,258,8,,1884,8
Nakivale Settlement,Burundi,Mutukula,,,,1035,2,,1035,2
Ngomoromo,South Sudan,Lamwo Border Point,20,,,,7654,7674
Nyakabande TC,DRC,Bunagana,,,,,1545,1545
Palabek Settlement,South Sudan,Elegu,,,,,7179,7179
Palabek Settlement,South Sudan,Ngomoromo,,,,8822,7654,16476
Palorinya Settlement,South Sudan,Afogi,20079,23942,,,,44021
Palorinya Settlement,South Sudan,Elegu,5122,9086,6617,2970,,23795
Palorinya Settlement,South Sudan,Gobolo,9430,7654,,,,17084
Palorinya Settlement,South Sudan,Kerwa,8507,4952,,,,13459
Palorinya Settlement,South Sudan,Kuluba,14016,7565,,,,21581
Palorinya Settlement,South Sudan,Ngomoromo,984,1956,1145,,,4085
Rwamwanja,DRC,Nyakabande TC,3136,3206,3945,4913,1545,16745
Other,Others,Other,427,0,959,335,,1721
Other,Somalia,Other,859,0,1321,594,,2774
